name,year,price,Index of Performance,avg 1080p FPS,avg 1440p FPS,avg 4K FPS
RTX 3090,2020,1499.0,340.0,256.9,194.7,120.9
RTX 3080,2020,699.0,275.0,241.7,178.4,106.4
TITAN RTX,2018,2499.0,223.0,169.8,129.4,77.7
RTX 3070,2020,499.0,220.0,184.9,136.5,81.4
RTX 2080 Ti,2018,1187.0,213.0,165.3,126.0,75.6
RTX 2080 SUPER,2019,699.0,184.0,150.0,113.2,67.6
TITAN V,2017,2999.0,180.0,143.8,109.6,67.1
RTX 2080,2018,693.0,170.0,141.8,105.9,62.7
RTX 2070 SUPER,2019,499.0,156.0,132.1,97.5,58.1
GTX 1080 Ti,2017,807.0,156.0,132.9,101.0,60.3
TITAN Xp,2017,1199.0,154.0,130.3,97.5,59.5
Radeon VII,2019,664.0,150.0,130.3,96.8,56.8
RX 5700 XT,2019,399.0,148.0,126.9,94.2,55.2
RTX 2070,2018,469.0,145.0,143.3,106.7,64.2
RX 5700,2019,349.0,137.0,116.3,86.4,50.6
RTX 2060 SUPER,2019,400.0,136.0,118.5,84.8,50.3
GTX 1080,2016,522.0,130.0,112.9,82.6,48.5
RX 5600 XT,2020,279.0,127.0,109.7,80.8,47.2
RTX 2060,2019,349.0,126.0,111.5,78.0,45.4
RX Vega 64,2017,419.0,124.0,105.5,78.4,45.8
GTX 1070 Ti,2017,503.0,123.0,104.6,76.5,44.8
RX Vega 56,2017,269.0,120.0,98.9,73.3,42.9
GTX TITAN X,2015,1099.0,120.0,101.7,73.5,43.1
RTX 2080 Mobile,2019,1942.0,119.0,99.2,74.1,43.9
GTX 1660 Ti,2019,279.0,118.0,99.5,72.8,42.6
R9 295X2,2014,1499.0,118.0,105.8,76.3,47.7
GTX 1070,2016,329.0,114.0,96.3,69.8,40.6
GTX 1660 SUPER,2019,229.0,114.0,93.8,68.7,40.3
GTX 1080 Mobile,2016,1857.0,110.0,95.9,70.2,41.2
GTX 1660,2019,220.0,110.0,88.3,64.6,37.8
RTX 2080 Max-Q,2019,1772.0,102.0,85.1,63.5,37.6
RTX 2070 Mobile,2019,1724.0,101.0,87.6,63.7,38.5
GTX 1660 Ti Mobile,2019,1758.0,100.0,71.9,52.6,30.8
GTX 1080 Max-Q,2017,1955.0,97.0,84.7,62.0,36.4
GTX 1070 Mobile,2016,1559.0,97.0,81.8,59.3,34.5
GTX 980 Ti,2015,619.0,93.0,88.5,64.4,37.7
R9 FURY X,2015,649.0,92.0,80.4,61.2,36.8
RX 590,2018,214.0,91.0,83.8,59.5,34.1
RTX 2060 Mobile,2019,1104.0,88.0,78.0,54.6,31.8
RTX 2070 Max-Q,2019,1516.0,87.0,75.1,54.6,33.0
R9 Nano,2015,1529.0,87.0,73.1,54.7,32.7
GTX 1070 Max-Q,2017,1106.0,86.0,72.2,52.4,30.5
GTX 980,2014,249.0,85.0,75.9,54.6,32.2
RX 5500 XT 8GB,2019,199.0,85.0,76.2,54.1,30.9
RX Vega 56 Mobile,2018,1579.0,84.0,69.2,51.3,30.0
GTX 1660 Ti Max-Q,2019,1185.0,83.0,68.0,49.7,29.1
R9 FURY,2015,549.0,82.0,69.1,51.5,30.4
RX 5500 XT 4GB,2019,169.0,80.0,68.3,48.6,27.7
RX 580,2017,151.0,79.0,74.3,52.7,30.0
GTX 1650 SUPER,2019,160.0,79.0,76.9,56.1,32.8
GTX 1060 6GB,2016,159.0,78.0,68.9,49.3,28.9
GTX TITAN BLACK,2014,999.0,77.0,70.9,50.6,31.1
RX 480,2016,399.0,75.0,62.5,46.0,27.6
GTX 1060 3GB,2016,170.0,75.0,65.4,46.9,27.5
HD 7990,2013,999.0,74.0,79.3,59.9,33.7
R9 390X,2015,495.0,74.0,66.5,49.4,29.3
GTX 780 Ti,2013,410.0,73.0,62.1,42.7,27.0
RX 570,2017,123.0,73.0,61.3,44.5,25.5
GTX TITAN,2013,650.0,72.0,70.2,50.3,27.4
GTX 970,2014,449.0,71.0,64.3,45.6,27.8
R9 290X,2013,399.0,70.0,63.7,46.5,28.5
R9 390,2015,465.0,70.0,62.1,45.1,25.2
GTX 1650,2019,149.0,70.0,58.6,42.5,24.8
GTX 1060 Mobile,2016,987.0,66.0,58.5,41.9,24.6
R9 290,2013,310.0,65.0,60.2,43.3,26.9
RX 470,2016,342.0,64.0,54.7,39.9,23.3
GTX 980M,2014,1345.0,59.0,53.1,38.2,22.5
GTX 980 Mobile,2015,1345.0,59.0,53.1,38.2,22.5
GTX 980MX,2016,1345.0,59.0,53.1,38.2,22.5
GTX 780,2013,355.0,58.0,57.7,41.3,25.1
GTX 1060 Max-Q,2017,1185.0,58.0,51.6,37.0,21.7
RX 580 Mobile,2017,1307.0,55.0,52.0,36.9,21.0
RX 580X Mobile,2018,1307.0,55.0,52.0,36.9,21.0
Pro WX 7100 Mobile,2017,1959.0,55.0,46.5,33.9,19.8
R9 380X,2015,229.0,52.0,46.0,33.2,19.8
RX 480 Mobile,2016,1275.0,52.0,43.8,32.2,19.3
R9 280X,2013,350.0,52.0,49.1,35.0,21.1
RX 570 Mobile,2017,1260.0,51.0,42.9,31.1,17.9
GTX 770,2013,179.0,50.0,43.8,29.6,18.0
GTX 970M 6GB,2014,1249.0,49.0,45.0,31.9,19.4
GTX 970M,2014,1249.0,49.0,43.9,31.1,19.0
GTX 1650 Max-Q,2019,1239.0,48.0,40.0,29.0,17.0
GTX 1650 Mobile,2019,1151.0,48.0,41.0,29.7,17.4
GTX 1050 Ti,2016,129.0,48.0,40.4,29.3,17.1
R9 285,2014,380.0,46.0,41.3,29.9,16.8
R9 380,2015,299.0,46.0,41.0,29.6,16.8
R9 M290X,2014,1209.0,45.0,42.1,30.3,18.8
R9 280,2014,350.0,45.0,40.0,29.2,16.1
RX 470 Mobile,2016,1203.0,45.0,38.3,27.9,16.3
GTX 960,2015,89.0,45.0,39.5,28.4,16.4
GTX 1050 Ti Mobile,2017,876.0,41.0,34.4,24.9,14.5
GTX 780M,2013,1162.0,41.0,40.4,28.9,17.6
GTX 780M,2013,1162.0,41.0,40.4,28.9,17.6
GTX 760,2013,320.0,40.0,38.2,28.4,15.0
GTX 1050,2018,129.0,39.0,34.4,24.7,14.2
R9 270,2013,275.0,38.0,34.7,22.7,13.7
GTX 950,2015,89.0,36.0,31.2,22.1,13.2
GTX 1050 Ti Max-Q,2018,1270.0,36.0,30.3,22.0,12.8
GTX 770M,2013,1100.0,35.0,30.7,20.7,12.6
R7 370,2015,202.0,33.0,30.6,20.8,12.5
RX 560,2017,99.0,33.0,31.8,22.6,13.0
R7 265,2014,149.0,33.0,30.4,20.1,12.1
GTX 650 Ti Boost,2013,169.0,30.0,31.4,18.5,11.2
